id,center_id,pass_id,member_id,trainer_member_id,starts_at,ends_at,status,consumed,cancelled_reason,cancelled_by_uid,cancelled_at,attended_at,created_by_uid,created_at,updated_at,source,requested_at,approved_at,approved_by_uid,rejected_reason,booking_reason,attendance_reminded_at,reschedule_history
779,1,83,83,2,2026-09-07 10:00:00+00,2026-09-07 10:50:00+00,booked,f,,,,,9c2y4VaE4INXKm4skvpx1KAMSMj2,2026-08-24 03:34:17.675498+00,2026-08-24 03:34:17.675498+00,staff,,,,,,,[]
778,1,83,83,2,2026-09-02 10:00:00+00,2026-09-02 10:50:00+00,booked,f,,,,,9c2y4VaE4INXKm4skvpx1KAMSMj2,2026-08-24 03:34:17.366176+00,2026-08-24 03:34:17.366176+00,staff,,,,,,,[]
777,1,83,83,2,2026-08-31 10:00:00+00,2026-08-31 10:50:00+00,booked,f,,,,,9c2y4VaE4INXKm4skvpx1KAMSMj2,2026-08-24 03:34:17.052989+00,2026-08-24 03:34:17.052989+00,staff,,,,,,,[]
999,1,83,83,2,2026-08-27 10:00:00+00,2026-08-27 10:50:00+00,booked,f,,,,,9c2y4VaE4INXKm4skvpx1KAMSMj2,2026-08-24 11:57:23.885497+00,2026-08-24 14:04:57.723835+00,staff,,,,,,,[]
776,1,83,83,2,2026-08-26 10:00:00+00,2026-08-26 10:50:00+00,booked,f,,,,,9c2y4VaE4INXKm4skvpx1KAMSMj2,2026-08-24 03:34:16.568976+00,2026-08-24 03:34:16.568976+00,staff,,,,,,,[]
775,1,83,83,2,2026-08-24 10:00:00+00,2026-08-24 10:50:00+00,booked,f,,,,,9c2y4VaE4INXKm4skvpx1KAMSMj2,2026-08-24 03:34:16.008155+00,2026-08-25 00:31:06.645291+00,staff,,,,,,2026-08-25 00:31:06.502+00,[]
578,1,83,83,2,2026-08-19 10:00:00+00,2026-08-19 10:50:00+00,attended,t,,,,2026-08-19 10:00:00+00,9c2y4VaE4INXKm4skvpx1KAMSMj2,2026-08-21 03:47:54.020805+00,2026-08-21 03:47:54.020805+00,staff,,,,,,,[]
579,1,83,83,2,2026-08-17 02:00:00+00,2026-08-17 02:50:00+00,attended,t,,,,2026-08-17 02:00:00+00,9c2y4VaE4INXKm4skvpx1KAMSMj2,2026-08-21 03:47:54.020805+00,2026-08-21 03:47:54.020805+00,staff,,,,,,,[]
580,1,83,83,2,2026-08-12 10:00:00+00,2026-08-12 10:50:00+00,attended,t,,,,2026-08-12 10:00:00+00,9c2y4VaE4INXKm4skvpx1KAMSMj2,2026-08-21 03:47:54.020805+00,2026-08-21 03:47:54.020805+00,staff,,,,,,,[]
581,1,83,83,2,2026-08-10 10:00:00+00,2026-08-10 10:50:00+00,attended,t,,,,2026-08-10 10:00:00+00,9c2y4VaE4INXKm4skvpx1KAMSMj2,2026-08-21 03:47:54.020805+00,2026-08-21 03:47:54.020805+00,staff,,,,,,,[]
582,1,83,83,2,2026-08-05 10:00:00+00,2026-08-05 10:50:00+00,attended,t,,,,2026-08-05 10:00:00+00,9c2y4VaE4INXKm4skvpx1KAMSMj2,2026-08-21 03:47:54.020805+00,2026-08-21 03:47:54.020805+00,staff,,,,,,,[]
